,Basic Materials,Technology,"Consumer, Non-cyclical",Communications,Energy,Financial,"Consumer, Cyclical",Utilities,Industrial
223,,,,,,,AZO,,
224,,,MYL,,,,,,
225,,,,,NOV,,,,
226,,,,,,,,,ITW
227,,,,,,,,AEP,
228,,,IDXX,,,,,,
229,,,BMY,,,,,,
230,,,CL,,,,,,
231,,,,,,,,,KSU
232,,,,CMCSA,,,,,
233,,,,,,CCI,,,
234,,,MDLZ,,,,,,
235,,BMC,,,,,,,
236,,,,,XOM,,,,
237,,,,,,,,,GR
238,,,,,PSX,,,,
239,,,,,,,AAP,,
240,,,,,,,IILGV,,
241,,,,,NBL,,,,
242,,,,,,DRE,,,
243,,,,,,,RCL,,
244,,,,,,BAC,,,
245,,,,,,,DLPH,,
246,,,ECL,,,,,,
247,,,,,HES,,,,
248,,,,DIS,,,,,
249,,,,,,GS,,,
250,,,,,,,DRI,,
251,,,,,,,DHI,,
252,,,,,,,URBN,,
253,,,,,,HBAN,,,
254,,,PWR,,,,,,
255,,,,,FSLR,,,,
256,,SNPS,,,,,,,
257,PPG,,,,,,,,
258,,,,,,BBT,,,
259,,,ADP,,,,,,
260,NUE,,,,,,,,
261,,PAYX,,,,,,,
262,,,STJ,,,,,,
263,,,THC,,,,,,
264,,,,,,,,GAS,
265,,,,NYT,,,,,
266,,,,T,,,,,
267,,,,,,CB,,,
268,,,,CSCO,,,,,
269,,,,,,,,,ROP
270,,,,,,,,,GLW
271,,,CVH,,,,,,
272,,,,,,,DLTR,,
273,,,,,,,,,UPS
274,,,,,,,NKE,,
275,,NTAP,,,,,,,
276,,,,,,JBGS,,,
277,,,,,,RF,,,
278,EMN,,,,,,,,
279,,,,,,CME,,,
280,,,LH,,,,,,
281,,,,TWC,,,,,
282,,,,,,GGP,,,
283,,,BCR,,,,,,
284,,,UHS,,,,,,
285,,,,CHTR,,,,,
286,,,,,,,,,HII
287,,,,EBAY,,,,,
288,,,,,,,NCLH,,
289,AKS,,,,,,,,
290,,QRVO,,,,,,,
291,,,,,,,,,HON
292,,,FRX,,,,,,
293,,,,,,AON,,,
294,,,,MSI,,,,,
295,VSM,,,,,,,,
296,,,CVS,,,,,,
297,,,,,,ZION,,,
298,,,,,,,,SRE,
299,,BRCM,,,,,,,
300,,,K,,,,,,
301,,,,,,,,,CMI
302,,,,,,,,,ITT
303,NGVT,,,,,,,,
304,,,,,,,,PCG,
305,,,,,MRO,,,,
306,,,,,,O,,,
307,,,BDX,,,,,,
308,,LRCX,,,,,,,
309,,,VREX,,,,,,
310,,,,,,,TIF,,
311,,,KHC,,,,,,
312,,,,,APC,,,,
313,,,,MFE,,,,,
314,,,,,,CBOE,,,
315,CF,,,,,,,,
316,,,,,,EQIX,,,
317,,,,,,MA,,,
318,,,,,,,PHM,,
319,,,,,,XL,,,
320,,,,,XTO,,,,
